CRASH_HOUR,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_DAY_OF_WEEK,CRASH_MONTH,Lat,Lng,Region ID
0,4240,688,4240,4240,4240,4240,4240,4240,4240,4240,3061,4240,4240,4240,4138,4240,1013,193,1908,4240,4240,4240,4240,4240,4240,4240,4240,69,151,6,33,22,2,4228,4200,4200,4200,4200,4200,4200,4200,4200,4240,4240,4240,4240,4240
1,3650,470,3650,3650,3650,3650,3650,3650,3650,3650,2623,3650,3650,3650,3539,3650,766,166,1717,3650,3650,3650,3650,3650,3650,3650,3650,59,100,9,14,9,3,3635,3608,3609,3609,3609,3609,3609,3609,3609,3650,3650,3650,3650,3650
2,3264,417,3264,3264,3264,3264,3264,3264,3264,3264,2358,3264,3264,3264,3167,3264,691,172,1561,3264,3264,3264,3264,3264,3264,3264,3264,54,100,6,20,17,1,3252,3227,3228,3228,3228,3228,3228,3228,3228,3264,3264,3264,3264,3264
3,2693,356,2693,2693,2693,2693,2693,2693,2693,2693,1885,2693,2693,2693,2592,2693,548,150,1249,2693,2693,2693,2693,2693,2693,2693,2693,37,70,6,21,16,5,2686,2663,2664,2664,2664,2664,2664,2664,2664,2693,2693,2693,2693,2693
4,2486,308,2486,2486,2486,2486,2486,2486,2486,2486,1740,2486,2486,2486,2399,2486,483,141,1140,2486,2486,2486,2486,2486,2486,2486,2486,23,53,4,21,15,3,2480,2462,2462,2462,2462,2462,2462,2462,2462,2486,2486,2486,2486,2486
5,3192,365,3192,3192,3192,3192,3192,3192,3192,3192,2202,3192,3192,3192,3099,3192,678,159,1256,3192,3192,3192,3192,3192,3192,3192,3192,41,76,4,29,24,1,3187,3176,3176,3176,3176,3176,3176,3176,3176,3192,3192,3192,3192,3192
6,5307,469,5307,5307,5307,5307,5307,5307,5307,5307,3542,5307,5307,5307,5168,5307,1234,214,1620,5307,5307,5307,5307,5307,5307,5307,5307,55,78,6,42,38,8,5292,5280,5280,5280,5280,5280,5280,5280,5280,5307,5307,5307,5307,5307
7,10730,657,10730,10730,10730,10730,10730,10730,10730,10730,6992,10730,10730,10730,10495,10730,2515,323,2699,10730,10730,10730,10730,10730,10730,10730,10730,129,231,30,88,67,19,10710,10694,10694,10694,10694,10694,10694,10694,10694,10730,10730,10730,10730,10730
8,13149,789,13149,13149,13149,13149,13149,13149,13149,13149,8449,13149,13149,13149,12856,13149,2996,449,3038,13149,13149,13149,13149,13149,13149,13149,13149,159,287,45,139,114,42,13125,13108,13108,13108,13108,13108,13108,13108,13108,13149,13149,13149,13149,13149
9,11089,687,11089,11089,11089,11089,11089,11089,11089,11089,7171,11089,11089,11089,10870,11089,2368,552,2845,11089,11089,11089,11089,11089,11089,11089,11089,125,232,27,143,120,52,11071,11059,11059,11059,11059,11059,11059,11059,11059,11089,11089,11089,11089,11089
10,10350,710,10350,10350,10350,10350,10350,10350,10350,10350,6607,10350,10350,10350,10141,10350,2172,623,2604,10350,10350,10350,10350,10350,10350,10350,10350,115,257,25,117,100,38,10327,10313,10313,10313,10313,10313,10313,10313,10313,10350,10350,10350,10350,10350
11,11276,591,11276,11276,11276,11276,11276,11276,11276,11276,7046,11276,11276,11276,11051,11276,2360,701,2742,11276,11276,11276,11276,11276,11276,11276,11276,136,264,36,119,99,51,11253,11232,11232,11232,11232,11232,11232,11232,11232,11276,11276,11276,11276,11276
12,13037,826,13037,13037,13037,13037,13037,13037,13037,13037,8199,13037,13037,13037,12763,13037,2779,791,3279,13037,13037,13037,13037,13037,13037,13037,13037,138,301,44,122,104,42,13020,13002,13002,13002,13002,13002,13002,13002,13002,13037,13037,13037,13037,13037
13,13410,741,13410,13410,13410,13410,13410,13410,13410,13410,8391,13410,13410,13410,13080,13410,2829,736,3206,13410,13410,13410,13410,13410,13410,13410,13410,143,270,38,114,90,32,13384,13369,13369,13369,13369,13369,13369,13369,13369,13410,13410,13410,13410,13410
14,14827,787,14827,14827,14827,14827,14827,14827,14827,14827,9465,14827,14827,14827,14506,14827,3253,718,3464,14827,14827,14827,14827,14827,14827,14827,14827,155,227,52,92,78,30,14787,14766,14766,14766,14766,14766,14766,14766,14766,14827,14827,14827,14827,14827
15,16862,862,16862,16862,16862,16862,16862,16862,16862,16862,10762,16862,16862,16862,16450,16862,3593,702,4002,16862,16862,16862,16862,16862,16862,16862,16862,177,305,55,107,83,21,16819,16791,16791,16791,16791,16791,16791,16791,16791,16862,16862,16862,16862,16862
16,16962,899,16962,16962,16962,16962,16962,16962,16962,16962,11077,16962,16962,16962,16591,16962,3792,705,4105,16962,16962,16962,16962,16962,16962,16962,16962,191,332,57,90,66,15,16917,16897,16897,16897,16897,16897,16897,16897,16897,16962,16962,16962,16962,16962
17,16741,929,16741,16741,16741,16741,16741,16741,16741,16741,10910,16741,16741,16741,16323,16741,3858,598,4100,16741,16741,16741,16741,16741,16741,16741,16741,191,291,72,89,68,7,16703,16683,16683,16683,16683,16683,16683,16683,16683,16741,16741,16741,16741,16741
18,13882,825,13882,13882,13882,13882,13882,13882,13882,13882,9031,13882,13882,13882,13579,13882,3207,495,3503,13882,13882,13882,13882,13882,13882,13882,13882,153,269,73,56,44,4,13851,13835,13835,13835,13835,13835,13835,13835,13835,13882,13882,13882,13882,13882
19,10045,636,10045,10045,10045,10045,10045,10045,10045,10045,6564,10045,10045,10045,9804,10045,2287,424,2842,10045,10045,10045,10045,10045,10045,10045,10045,112,183,50,49,35,1,10018,10001,10001,10001,10001,10001,10001,10001,10001,10045,10045,10045,10045,10045
20,7640,554,7640,7640,7640,7640,7640,7640,7640,7640,5200,7640,7640,7640,7461,7640,1839,324,2429,7640,7640,7640,7640,7640,7640,7640,7640,127,180,44,32,26,2,7625,7606,7606,7606,7606,7606,7606,7606,7606,7640,7640,7640,7640,7640
21,6965,560,6965,6965,6965,6965,6965,6965,6965,6965,4826,6965,6965,6965,6786,6965,1680,291,2478,6965,6965,6965,6965,6965,6965,6965,6965,117,174,30,46,36,0,6939,6924,6924,6924,6924,6924,6924,6924,6924,6965,6965,6965,6965,6965
22,6504,562,6504,6504,6504,6504,6504,6504,6504,6504,4595,6504,6504,6504,6335,6504,1716,269,2390,6504,6504,6504,6504,6504,6504,6504,6504,117,186,24,45,35,2,6488,6464,6465,6465,6465,6465,6465,6465,6465,6504,6504,6504,6504,6504
23,5332,535,5332,5332,5332,5332,5332,5332,5332,5332,3802,5332,5332,5332,5196,5332,1369,238,2057,5332,5332,5332,5332,5332,5332,5332,5332,102,164,17,42,29,2,5318,5299,5300,5300,5300,5300,5300,5300,5300,5332,5332,5332,5332,5332
