,INTERSECTION,FIRST APPROACH,SECOND APPROACH,THIRD APPROACH,GO LIVE DATE,Lat,Lng,LOCATION,Region ID,Region Name
0,Pulaski-Diversey,SB,NB,,05/15/2009,41.931791,-87.726979,"(41.931791, -87.726979)",7,Hermosa-Logan Square
1,Pulaski-Foster,SB,WB,,10/18/2007,41.975532,-87.728234,"(41.975532, -87.728234)",3,North Park-Albany-Linconl Sq
2,Cicero-Fullerton,SB,WB,,02/25/2006,41.924237,-87.746302,"(41.924237, -87.746302)",7,Hermosa-Logan Square
3,Harlem-Belmont,NB,WB,,06/18/2007,41.937996999999996,-87.80674599999999,"(41.937997, -87.806746)",5,Dunning-Portage-Belmont Cragn
4,Narragansett-Fullerton,EB,WB,,11/14/2008,41.923676,-87.785441,"(41.923676, -87.785441)",5,Dunning-Portage-Belmont Cragn
5,Western-Montrose,NB,WB,,08/26/2008,41.961313,-87.688681,"(41.961313, -87.688681)",3,North Park-Albany-Linconl Sq
6,Halsted-Madison,NB,SB,,06/14/2008,41.881776,-87.647361,"(41.881776, -87.647361)",11,West Town-Near West
7,State-75th,NB,WB,,08/28/2009,41.758179999999996,-87.62475699999999,"(41.75818, -87.624757)",23,Auburn Gresham-Chatham
8,Western-79th,NB,WB,,05/07/2007,41.750101,-87.682847,"(41.750101, -87.682847)",22,Ashburn
9,California-Irving Park,WB,EB,,08/26/2008,41.953973,-87.69824,"(41.953973, -87.69824)",6,Irving Park-Avondale-North Ctr
10,Cicero-Chicago,NB,EB,,10/05/2007,41.895003,-87.745805,"(41.895003, -87.745805)",10,Humboldt-Garfield Prk E/W
11,Cicero-Archer,NB,WB,,11/13/2007,41.798659,-87.74292700000001,"(41.798659, -87.742927)",18,South West Side
12,Austin-Addison,EB,NB,,06/28/2008,41.945771,-87.776504,"(41.945771, -87.776504)",5,Dunning-Portage-Belmont Cragn
13,LaSalle-Kinzie,NB,EB,,04/30/2004,41.889187,-87.632526,"(41.889187, -87.632526)",12,Near North
14,Broadway-Foster,NB,EB,,10/18/2007,41.976323,-87.659867,"(41.976323, -87.659867)",4,Edge Water-Uptown
15,Clark-Ridge,NB,SB,,07/23/2008,41.989697,-87.669985,"(41.989697, -87.669985)",4,Edge Water-Uptown
16,Kedzie-31st,SB,WB,,05/23/2008,41.837231,-87.704823,"(41.837231, -87.704823)",14,Lawndale N/S
17,Pulaski-55th,SB,WB,,11/19/2004,41.793205,-87.72316,"(41.793205, -87.72316)",18,South West Side
18,Ashland-Cortland,NB,EB,,02/26/2006,41.916128,-87.6678,"(41.916128, -87.6678)",8,Lincoln Park-Lake View
19,California-Diversey,NB,WB,EB,01/31/2006,41.932096,-87.697616,"(41.932096, -87.697616)",6,Irving Park-Avondale-North Ctr
20,Damen-63rd,NB,SB,,05/31/2008,41.779315000000004,-87.673906,"(41.779315, -87.673906)",19,New City-Englewood-W Englewood
21,Laramie-Madison,EB,WB,,05/11/2011,41.880371000000004,-87.755065,"(41.880371, -87.755065)",9,Austin
22,Pulaski-Archer-50th,EB,WB,,10/31/2007,41.802316999999995,-87.723422,"(41.802317, -87.723422)",18,South West Side
23,Kostner-Grand-North,EB,NB,SB,03/11/2004,41.909754,-87.736262,"(41.909754, -87.736262)",7,Hermosa-Logan Square
24,Cicero-North,EB,WB,,05/31/2008,41.909626,-87.746112,"(41.909626, -87.746112)",7,Hermosa-Logan Square
25,Kedzie-71st,SB,WB,,09/17/2009,41.76439,-87.702811,"(41.76439, -87.702811)",18,South West Side
26,Clark-Chicago,EB,WB,,10/22/2010,41.896634999999996,-87.63124300000001,"(41.896635, -87.631243)",12,Near North
27,Kedzie-Armitage,SB,WB,,01/23/2009,41.917402,-87.706965,"(41.917402, -87.706965)",7,Hermosa-Logan Square
28,Pulaski-Lawrence,SB,EB,,07/31/2008,41.968242,-87.728027,"(41.968242, -87.728027)",3,North Park-Albany-Linconl Sq
29,Ashland-95th,SB,EB,,06/26/2009,41.721214,-87.662684,"(41.721214, -87.662684)",25,Beverly-Mt Greenwood-Morgan Park
30,Milwaukee-Diversey,NB,EB,,06/29/2009,41.931984,-87.712251,"(41.931984, -87.712251)",6,Irving Park-Avondale-North Ctr
31,Elston-Irving Park,SB,EB,,08/12/2009,41.95373,-87.719084,"(41.95373, -87.719084)",6,Irving Park-Avondale-North Ctr
32,Ashland-71st,NB,WB,,10/11/2004,41.76491,-87.663794,"(41.76491, -87.663794)",19,New City-Englewood-W Englewood
33,Western-Foster,SB,WB,,06/05/2007,41.97589,-87.689148,"(41.97589, -87.689148)",3,North Park-Albany-Linconl Sq
34,Central-Diversey,SB,WB,,08/18/2009,41.931278000000006,-87.766248,"(41.931278, -87.766248)",5,Dunning-Portage-Belmont Cragn
35,Halsted-99th,NB,EB,,01/01/2006,41.714215,-87.643004,"(41.714215, -87.643004)",26,Washington Hts-Roseland-Pullman
36,Western-Marquette,SB,WB,,11/30/2008,41.771977,-87.68344300000001,"(41.771977, -87.683443)",19,New City-Englewood-W Englewood
37,Damen-Division,EB,WB,,12/29/2009,41.903191,-87.677258,"(41.903191, -87.677258)",11,West Town-Near West
38,Ashland-87th,SB,WB,,03/31/2007,41.735788,-87.663063,"(41.735788, -87.663063)",23,Auburn Gresham-Chatham
39,Pulaski-Chicago,SB,EB,,02/20/2010,41.895367,-87.726078,"(41.895367, -87.726078)",10,Humboldt-Garfield Prk E/W
40,Ashland-Fullerton,NB,SB,,06/08/2009,41.92515,-87.668144,"(41.92515, -87.668144)",8,Lincoln Park-Lake View
41,Central-Chicago,SB,EB,,05/28/2010,41.894852,-87.765395,"(41.894852, -87.765395)",9,Austin
42,Ashland-Madison,NB,WB,,03/06/2004,41.881454,-87.666802,"(41.881454, -87.666802)",11,West Town-Near West
43,Sheridan-Foster,SB,WB,,01/26/2008,41.976396,-87.654993,"(41.976396, -87.654993)",4,Edge Water-Uptown
44,Western-55th,SB,EB,,11/01/2003,41.793877,-87.68404,"(41.793877, -87.68404)",18,South West Side
45,Pulaski-Roosevelt,NB,WB,,07/17/2009,41.866172,-87.725169,"(41.866172, -87.725169)",10,Humboldt-Garfield Prk E/W
46,Kedzie-26th,NB,SB,,11/02/2010,41.844518,-87.705042,"(41.844518, -87.705042)",14,Lawndale N/S
47,Stony Island-76th,NB,SB,,11/30/2008,41.756944,-87.58609,"(41.756944, -87.58609)",24,South Shore-S Chicago-Avlon
48,Western-Madison,NB,WB,,06/01/2004,41.881161,-87.686432,"(41.881161, -87.686432)",11,West Town-Near West
49,Central-Belmont,SB,WB,,02/05/2009,41.938573,-87.766499,"(41.938573, -87.766499)",5,Dunning-Portage-Belmont Cragn
50,Broadway-Sheridan-Devon,SB,EB,,10/18/2007,41.99819,-87.660545,"(41.99819, -87.660545)",1,Rogers Park - West Ridge
51,Ashland-Irving Park,NB,EB,,08/26/2008,41.954291,-87.66904699999999,"(41.954291, -87.669047)",8,Lincoln Park-Lake View
52,California-Peterson,NB,EB,,06/29/2009,41.990442,-87.699401,"(41.990442, -87.699401)",3,North Park-Albany-Linconl Sq
53,Pulaski-79th,SB,WB,,09/17/2009,41.749569,-87.721913,"(41.749569, -87.721913)",22,Ashburn
54,Dr Martin Luther King-31st,NB,EB,,06/22/2008,41.838419,-87.617465,"(41.838419, -87.617465)",16,Near South-Douglas
55,Illinois-Columbus,NB,SB,,10/28/2010,41.891002,-87.620224,"(41.891002, -87.620224)",29,Downtown Lakefront
56,Laramie-Fullerton,WB,NB,,06/28/2008,41.924106,-87.756147,"(41.924106, -87.756147)",5,Dunning-Portage-Belmont Cragn
57,Central-Irving Park,SB,EB,,06/30/2008,41.953183,-87.766998,"(41.953183, -87.766998)",5,Dunning-Portage-Belmont Cragn
58,Clark-Fullerton,NB,SB,,06/27/2007,41.925585,-87.64048000000001,"(41.925585, -87.64048)",8,Lincoln Park-Lake View
59,Halsted-Division,NB,WB,,04/07/2004,41.903636,-87.648094,"(41.903636, -87.648094)",11,West Town-Near West
60,Cicero-Peterson,SB,WB,,08/26/2008,41.989898,-87.748325,"(41.989898, -87.748325)",2,Far North West
61,Cicero-Diversey,NB,WB,,02/11/2010,41.931533,-87.746595,"(41.931533, -87.746595)",7,Hermosa-Logan Square
62,Lafayette-87th,SB,EB,,08/31/2009,41.736271,-87.625445,"(41.736271, -87.625445)",23,Auburn Gresham-Chatham
63,Cicero-Washington,NB,SB,,06/14/2008,41.881815,-87.745339,"(41.881815, -87.745339)",10,Humboldt-Garfield Prk E/W
64,Pulaski-Fullerton,WB,NB,,05/19/2007,41.924484,-87.72676899999999,"(41.924484, -87.726769)",7,Hermosa-Logan Square
65,Cicero-47th,SB,WB,,03/31/2008,41.807623,-87.743153,"(41.807623, -87.743153)",18,South West Side
66,Kedzie-47th,NB,WB,,03/30/2008,41.808115,-87.703974,"(41.808115, -87.703974)",18,South West Side
67,Central-Addison,SB,EB,,11/15/2010,41.945877,-87.766754,"(41.945877, -87.766754)",5,Dunning-Portage-Belmont Cragn
68,Kostner-Ogden,SB,EB,,05/23/2008,41.847697,-87.734387,"(41.847697, -87.734387)",14,Lawndale N/S
69,Kedzie-Belmont,SB,EB,NB,03/01/2004,41.93933,-87.707696,"(41.93933, -87.707696)",6,Irving Park-Avondale-North Ctr
70,Sacramento-Chicago,NB,WB,,09/18/2009,41.895590999999996,-87.702455,"(41.895591, -87.702455)",10,Humboldt-Garfield Prk E/W
71,Western-35th,SB,NB,,10/11/2004,41.83028,-87.68503299999999,"(41.83028, -87.685033)",15,Bridgeport-McKinley-Lower West
72,Sacramento-Lake,NB,SB,,10/20/2009,41.884075,-87.701291,"(41.884075, -87.701291)",10,Humboldt-Garfield Prk E/W
73,Homan-Kimball-North,NB,EB,,10/05/2007,41.910053000000005,-87.71187900000001,"(41.910053, -87.711879)",7,Hermosa-Logan Square
74,Western-Cermak,SB,EB,,12/29/2009,41.852031,-87.685639,"(41.852031, -87.685639)",14,Lawndale N/S
75,Pulaski-North,NB,WB,,11/30/2008,41.909886,-87.72633,"(41.909886, -87.72633)",7,Hermosa-Logan Square
76,Halsted-119th,SB,WB,,11/02/2004,41.677815,-87.64190699999999,"(41.677815, -87.641907)",26,Washington Hts-Roseland-Pullman
77,Pulaski-Division,NB,SB,,07/22/2009,41.902671000000005,-87.726303,"(41.902671, -87.726303)",10,Humboldt-Garfield Prk E/W
78,Hamlin-Lake,NB,SB,,05/31/2008,41.885203000000004,-87.720919,"(41.885203, -87.720919)",10,Humboldt-Garfield Prk E/W
79,Western-47th,SB,NB,,11/29/2004,41.808426000000004,-87.684425,"(41.808426, -87.684425)",18,South West Side
80,Halsted-111th,SB,WB,,01/01/2006,41.692355,-87.642377,"(41.692355, -87.642377)",26,Washington Hts-Roseland-Pullman
81,Western-Addison,NB,EB,,06/08/2009,41.946731,-87.68825799999999,"(41.946731, -87.688258)",6,Irving Park-Avondale-North Ctr
82,Central-Fullerton,SB,WB,,10/05/2007,41.92398,-87.765989,"(41.92398, -87.765989)",5,Dunning-Portage-Belmont Cragn
83,Halsted-Roosevelt,WB,EB,,06/14/2008,41.867152000000004,-87.646919,"(41.867152, -87.646919)",13,Chicago Loop
84,California-Devon,NB,EB,,07/31/2008,41.997559,-87.69964300000001,"(41.997559, -87.699643)",3,North Park-Albany-Linconl Sq
85,Pulaski-Armitage,WB,EB,,05/31/2008,41.917165000000004,-87.726559,"(41.917165, -87.726559)",7,Hermosa-Logan Square
86,Kilpatrick-Irving Park,EB,WB,,10/21/2008,41.953446,-87.74557800000001,"(41.953446, -87.745578)",6,Irving Park-Avondale-North Ctr
87,Clark-Irving Park,EB,NB,,07/22/2008,41.954378000000005,-87.66224799999999,"(41.954378, -87.662248)",8,Lincoln Park-Lake View
88,Halsted-95th,NB,SB,,04/30/2008,41.721458,-87.643212,"(41.721458, -87.643212)",26,Washington Hts-Roseland-Pullman
89,Western-Lawrence,SB,EB,,07/31/2008,41.968614,-87.688906,"(41.968614, -87.688906)",3,North Park-Albany-Linconl Sq
90,Western-Diversey-Elston,NB,WB,,07/18/2008,41.932179,-87.687883,"(41.932179, -87.687883)",6,Irving Park-Avondale-North Ctr
91,Kedzie-79th-Columbus,SB,EB,,01/10/2006,41.749842,-87.702396,"(41.749842, -87.702396)",22,Ashburn
92,Western-Devon,NB,SB,,07/31/2008,41.99773,-87.689881,"(41.99773, -87.689881)",3,North Park-Albany-Linconl Sq
93,Halsted-Fullerton-Lincoln,NB,WB,,08/31/2008,41.925453999999995,-87.64876,"(41.925454, -87.64876)",8,Lincoln Park-Lake View
94,State-79th,WB,NB,,06/26/2009,41.750958000000004,-87.62454699999999,"(41.750958, -87.624547)",23,Auburn Gresham-Chatham
95,Pulaski-Belmont,SB,EB,,05/19/2007,41.939094,-87.72718499999999,"(41.939094, -87.727185)",6,Irving Park-Avondale-North Ctr
96,Ashland-Division,NB,EB,,10/25/2007,41.903347,-87.667496,"(41.903347, -87.667496)",11,West Town-Near West
97,State-63rd,SB,WB,,01/18/2006,41.780058000000004,-87.625374,"(41.780058, -87.625374)",20,Fuller-Grand Blvd-Washington Park
98,Sheridan-Hollywood,WB,EB,,10/18/2007,41.985549,-87.655242,"(41.985549, -87.655242)",4,Edge Water-Uptown
99,Cicero-Addison,NB,SB,,11/30/2008,41.946124,-87.747064,"(41.946124, -87.747064)",6,Irving Park-Avondale-North Ctr
100,Halsted-79th,NB,EB,,04/30/2008,41.750643,-87.64404300000001,"(41.750643, -87.644043)",23,Auburn Gresham-Chatham
101,Kedzie-63rd,NB,WB,,11/26/2007,41.778971999999996,-87.703138,"(41.778972, -87.703138)",18,South West Side
102,Central-Lake,SB,EB,,07/17/2009,41.887729,-87.76512,"(41.887729, -87.76512)",9,Austin
103,Pulaski-Cermak,SB,WB,,10/11/2004,41.851546,-87.724757,"(41.851546, -87.724757)",14,Lawndale N/S
104,Vincennes-87th,SB,EB,,11/11/2004,41.73605,-87.645174,"(41.73605, -87.645174)",23,Auburn Gresham-Chatham
105,Cottage Grove-71st-South Chicago,NB,SB,,04/30/2008,41.765868,-87.605586,"(41.765868, -87.605586)",21,Hyde Park-Kenwood-Woodlawn
106,Austin-Diversey,WB,EB,,06/28/2008,41.931139,-87.775966,"(41.931139, -87.775966)",5,Dunning-Portage-Belmont Cragn
107,Austin-Irving Park,NB,EB,,06/30/2008,41.953055,-87.776775,"(41.953055, -87.776775)",5,Dunning-Portage-Belmont Cragn
108,Kedzie-55th,SB,EB,,10/20/2009,41.793513,-87.703553,"(41.793513, -87.703553)",18,South West Side
109,Nagle-Foster,WB,NB,,10/14/2004,41.975652000000004,-87.787872,"(41.975652, -87.787872)",2,Far North West
110,Western-North,NB,EB,,11/26/2007,41.91032,-87.68722199999999,"(41.91032, -87.687222)",7,Hermosa-Logan Square
111,Kostner-Roosevelt,EB,NB,,03/18/2004,41.866031,-87.734965,"(41.866031, -87.734965)",14,Lawndale N/S
112,Western-Fullerton,NB,SB,,06/29/2009,41.9249,-87.687641,"(41.9249, -87.687641)",7,Hermosa-Logan Square
113,Pulaski-Irving Park,SB,WB,,05/19/2009,41.953646,-87.72761700000001,"(41.953646, -87.727617)",6,Irving Park-Avondale-North Ctr
114,Milwaukee-Devon,SB,WB,,02/28/2009,41.997354,-87.787444,"(41.997354, -87.787444)",2,Far North West
115,Pulaski-63rd,SB,EB,,03/31/2007,41.778658,-87.722759,"(41.778658, -87.722759)",18,South West Side
116,Damen-Diversey-Clybourn,SB,WB,,06/30/2008,41.932285,-87.678136,"(41.932285, -87.678136)",6,Irving Park-Avondale-North Ctr
117,Halsted-North,NB,WB,,06/29/2009,41.910920000000004,-87.648273,"(41.91092, -87.648273)",8,Lincoln Park-Lake View
118,Western-Touhy,SB,NB,,10/21/2008,42.012279,-87.690246,"(42.012279, -87.690246)",1,Rogers Park - West Ridge
119,Harlem-Addison,NB,EB,,06/21/2009,41.945264,-87.807006,"(41.945264, -87.807006)",5,Dunning-Portage-Belmont Cragn
120,Cicero-Harrison,SB,EB,,11/19/2009,41.873141,-87.745,"(41.873141, -87.745)",10,Humboldt-Garfield Prk E/W
121,Wentworth-Garfield,NB,WB,,05/08/2008,41.794201,-87.63051800000001,"(41.794201, -87.630518)",20,Fuller-Grand Blvd-Washington Park
122,Elston-Addison,SB,EB,,10/19/2007,41.946622,-87.708841,"(41.946622, -87.708841)",6,Irving Park-Avondale-North Ctr
123,Western-63rd,NB,EB,,11/12/2007,41.779214,-87.683638,"(41.779214, -87.683638)",19,New City-Englewood-W Englewood
124,Hamlin-Madison,NB,EB,,04/29/2009,41.880789,-87.720752,"(41.880789, -87.720752)",10,Humboldt-Garfield Prk E/W
125,Laramie-Irving Park,EB,WB,,01/27/2010,41.953299,-87.757148,"(41.953299, -87.757148)",5,Dunning-Portage-Belmont Cragn
126,Cicero-Armitage,EB,NB,,11/14/2008,41.916931,-87.746111,"(41.916931, -87.746111)",7,Hermosa-Logan Square
127,Jeffery-95th,SB,EB,,11/26/2007,41.722468,-87.575353,"(41.722468, -87.575353)",27,South Deering-East Side
128,Canal-Roosevelt,NB,WB,,11/30/2008,41.867252,-87.639216,"(41.867252, -87.639216)",13,Chicago Loop
129,Western-Chicago,NB,EB,,05/07/2007,41.895742999999996,-87.68684300000001,"(41.895743, -87.686843)",11,West Town-Near West
130,Narragansett-Irving Park,EB,WB,,10/14/2004,41.952915999999995,-87.786558,"(41.952916, -87.786558)",5,Dunning-Portage-Belmont Cragn
131,Lake Shore-Belmont,SB,EB,,06/22/2008,41.94024,-87.638696,"(41.94024, -87.638696)",8,Lincoln Park-Lake View
132,Cicero-Lawrence,NB,SB,,11/02/2004,41.968029,-87.74772,"(41.968029, -87.74772)",2,Far North West
133,Ashland-Lawrence,SB,EB,,08/27/2008,41.968876,-87.66944000000001,"(41.968876, -87.66944)",4,Edge Water-Uptown
134,Osceola-Touhy,EB,WB,,10/21/2008,42.011553,-87.812251,"(42.011553, -87.812251)",2,Far North West
135,Cicero-Stevenson NB (SOUTH INTERSECTION),NB,SB,,04/29/2009,41.817091999999995,-87.743477,"(41.817092, -87.743477)",18,South West Side
136,Western-Peterson,NB,SB,,02/26/2004,41.9905,-87.68967099999999,"(41.9905, -87.689671)",3,North Park-Albany-Linconl Sq
137,Elston-Lawrence,SB,WB,,06/08/2009,41.968108,-87.740163,"(41.968108, -87.740163)",3,North Park-Albany-Linconl Sq
138,Milwaukee-Montrose,SB,WB,,03/11/2010,41.960632000000004,-87.754476,"(41.960632, -87.754476)",5,Dunning-Portage-Belmont Cragn
139,Damen-Elston,SB,,,02/17/2006,41.925816,-87.677898,"(41.925816, -87.677898)",7,Hermosa-Logan Square
140,Damen-Fullerton,EB,,,02/17/2006,41.925025,-87.677898,"(41.925025, -87.677898)",7,Hermosa-Logan Square
141,Central-Milwaukee,SB,SEB,,09/29/2017,41.976514,-87.768467,"(41.976514, -87.768467)",2,Far North West
142,Northwest Hwy-Foster,SEB,EB,,09/29/2017,41.975688,-87.769261,"(41.975688, -87.769261)",2,Far North West
143,Michigan-Jackson,NB,EB,,01/22/2018,41.878246000000004,-87.624087,"(41.878246, -87.624087)",13,Chicago Loop
144,Michigan-Ontario,SB,WB,,01/22/2018,41.893268,-87.624038,"(41.893268, -87.624038)",12,Near North
145,Wacker-Lake,NB,SB,,02/19/2018,41.8857,-87.637,"(41.8857, -87.637)",13,Chicago Loop
146,Stony Island-79th-South Chicago,SB,WB,NB,05/07/2007,41.751506,-87.585823,"(41.751506, -87.585823)",24,South Shore-S Chicago-Avlon
147,Stony Island-Cornell-67th,NB,NB,,11/26/2007,41.773340000000005,-87.58629499999999,"(41.77334, -87.586295)",21,Hyde Park-Kenwood-Woodlawn
148,Western-Van Buren,WB,SB,,05/29/2008,41.876083,-87.68627099999999,"(41.876083, -87.686271)",11,West Town-Near West
